company,position,posted_at,pulled_at,url
Anthropic,Data Engineer,2026-07-01T10:46:39-04:00,2026-07-06T03:08:24+00:00,https://job-boards.greenhouse.io/anthropic/jobs/4956672008
Anthropic,"Data Scientist, GTM",2026-07-01T14:07:16-04:00,2026-07-06T03:08:24+00:00,https://job-boards.greenhouse.io/anthropic/jobs/5196852008
Anthropic,"Data Scientist, Safeguards",2026-06-18T16:36:50-04:00,2026-07-06T03:08:24+00:00,https://job-boards.greenhouse.io/anthropic/jobs/5209196008
Databricks,Software Engineer - GenAI inference,2026-07-01T18:31:25-04:00,2026-07-06T03:08:26+00:00,https://databricks.com/company/careers/open-positions/job?gh_jid=8202670002
Databricks,"Software Engineer, Web Products",2026-07-01T18:31:39-04:00,2026-07-06T03:08:26+00:00,https://databricks.com/company/careers/open-positions/job?gh_jid=8560779002
Databricks,AI Engineer - FDE (Forward Deployed Engineer),2026-07-01T18:31:17-04:00,2026-07-06T03:08:25+00:00,https://databricks.com/company/careers/open-positions/job?gh_jid=8099751002
Anthropic,"Data Scientist, Marketing",2026-06-25T12:29:59-04:00,2026-07-06T03:08:24+00:00,https://job-boards.greenhouse.io/anthropic/jobs/5161402008
Anthropic,"Data Scientist, Policy",2026-06-25T12:30:17-04:00,2026-07-06T03:08:24+00:00,https://job-boards.greenhouse.io/anthropic/jobs/5232055008
Anthropic,"Data Scientist, Supply",2026-06-30T16:56:18-04:00,2026-07-06T03:08:24+00:00,https://job-boards.greenhouse.io/anthropic/jobs/5212119008
Anthropic,"IT Systems Engineer, Client Platform Engineer",2026-06-12T16:01:23-04:00,2026-07-06T03:08:24+00:00,https://job-boards.greenhouse.io/anthropic/jobs/5255853008
Anthropic,"[P] Data Engineer, Safeguards",2026-07-01T16:27:17-04:00,2026-07-06T03:08:24+00:00,https://job-boards.greenhouse.io/anthropic/jobs/5240422008
Cursor,"Data Analyst, User Operations",2026-06-24T17:44:18.151+00:00,2026-07-06T03:08:28+00:00,https://jobs.ashbyhq.com/cursor/c43bdded-80a1-4705-a0ec-8217d771528c
OpenAI,"Full Stack Software Engineer, API Experience",2026-06-25T17:02:07.525+00:00,2026-07-06T03:08:27+00:00,https://jobs.ashbyhq.com/openai/66288824-8b77-4774-bc57-6825d3e6221e
OpenAI,"Software Engineer, Web Layer",2026-06-11T17:52:46.065+00:00,2026-07-06T03:08:27+00:00,https://jobs.ashbyhq.com/openai/915a325b-55f6-44e2-8314-34ec0d8bb2c9
Numa,Junior Data Analyst,2026-07-03T08:43:06+00:00,2026-07-06T02:19:05+00:00,https://remoteOK.com/remote-jobs/remote-junior-data-analyst-numa-1134429
Databricks,Software Engineer - Database Engine Internals,2026-07-01T18:31:21-04:00,2026-07-06T03:08:26+00:00,https://databricks.com/company/careers/open-positions/job?gh_jid=8012658002
Blockchain.com,Business Analyst,2026-07-03T20:53:35+00:00,2026-07-06T02:10:07+00:00,https://remoteOK.com/remote-jobs/remote-business-analyst-blockchain-com-1134457
TextUs,Business Operations Analyst,2026-07-03T17:12:44+00:00,2026-07-06T02:10:07+00:00,https://remoteOK.com/remote-jobs/remote-business-operations-analyst-textus-1134500
OpenAI,"Data Engineer, Scaling Analytics",2026-06-17T17:19:20.677+00:00,2026-07-06T03:08:27+00:00,https://jobs.ashbyhq.com/openai/c59e2e83-59a6-45bc-82cd-665c6a8a5761
OpenAI,"People Research Data Scientist, AI Fairness & Bias",2026-06-15T16:11:39.213+00:00,2026-07-06T03:08:27+00:00,https://jobs.ashbyhq.com/openai/cadb7c24-2aea-4b98-a793-65ae9388b5d6
OpenAI,"Systems Software Engineer, Security, First Party Hardware",2026-06-08T23:42:40.083+00:00,2026-07-06T03:08:27+00:00,https://jobs.ashbyhq.com/openai/1c48f39f-60ea-4636-87ed-8b4b4f5243e5
OpenAI,"Full Stack Software Engineer, Agent Enablement",2026-06-17T22:34:56.814+00:00,2026-07-06T03:08:27+00:00,https://jobs.ashbyhq.com/openai/2d7f1028-ce9b-49c7-acc8-782714ca1cf4
OpenAI,"Software Engineer, Computer Use & Frontier Interfaces",2026-06-12T18:54:06.880+00:00,2026-07-06T03:08:27+00:00,https://jobs.ashbyhq.com/openai/39a709f3-6e9e-45e9-94eb-43a1c2aaaeaf
OpenAI,"Software Engineer, API Multicloud",2026-06-10T19:57:54.896+00:00,2026-07-06T03:08:27+00:00,https://jobs.ashbyhq.com/openai/4070d52e-0263-4cd5-9107-052b4ecc1209
OpenAI,"Full Stack Software Engineer, Codex",2026-06-11T23:07:02.457+00:00,2026-07-06T03:08:27+00:00,https://jobs.ashbyhq.com/openai/5ebd5f66-75db-4a96-8d39-babc14f1c582
OpenAI,"Full Stack Software Engineer, ChatGPT ImageGen",2026-06-09T18:38:49.181+00:00,2026-07-06T03:08:27+00:00,https://jobs.ashbyhq.com/openai/6b47238e-025a-4350-b270-2f3564002fcc
OpenAI,"Software Engineer, Internal Applications - Enterprise",2026-06-09T17:17:34.199+00:00,2026-07-06T03:08:27+00:00,https://jobs.ashbyhq.com/openai/db053b0e-c1a5-4b7a-bcb6-6e766629e7b1
OpenAI,"Backend Software Engineer, ChatGPT ImageGen",2026-06-09T18:38:29.400+00:00,2026-07-06T03:08:27+00:00,https://jobs.ashbyhq.com/openai/e7a4ee23-138a-4004-916e-72a452e7d115
